PORT,LONGITUDE,LATITUDE,PORT_NAME,TOTAL,DOMESTIC,FOREIGN,IMPORTS,EXPORTS
C0297,-75.3222,39.85423,"Chester, PA","1,582,309","328,316","1,253,993","922,191","331,802"
C4150,-119.208475,34.148244,"Port Hueneme, CA","1,581,649","12,991","1,568,658","1,396,517","172,141"
C4100,-117.1784,32.70821,"San Diego, CA","1,574,868","212,002","1,362,866","1,316,883","45,983"
I2385,-94.60762,39.115,"Kansas City, MO","1,517,347","1,517,347",0,0,0
C4725,-122.2294,47.98476,"Everett, WA","1,499,583","1,127,281","372,302","225,286","147,016"
L3737,-87.41614,41.64523,"Buffington, IN","1,388,861","1,150,061","238,800","238,800",0
C0112,-68.92497,44.45285,"Searsport, ME","1,352,913","184,937","1,167,976","1,099,335","68,641"
I2293,-90.58323,34.52186,"Helena, AR","1,341,483","1,341,483",0,0,0
L3701,-86.238889,43.060833,"Grand Haven, MI","1,302,407","1,150,277","152,130","131,029","21,101"
C4718,-122.9089,47.06827,"Olympia, WA","1,271,809","513,575","758,234","45,149","713,085"
C2151,-66.71667,18.00126,"Ponce, PR","1,248,578","350,715","897,863","722,497","175,366"
I2268,-91.07121,33.77773,"Rosedale, MS","1,212,321","1,212,321",0,0,0
I2301,-89.93488,37.97332,"Southeast Missouri Port, MO","1,179,791","1,179,791",0,0,0
C0522,-73.07216,40.94881,"Port Jefferson, NY","1,126,756","1,126,756",0,0,0
L3844,-87.28703,46.51113,"Marquette, MI","1,105,550","741,372","364,178","364,178",0
C0738,-77.276338,37.322308,"Hopewell, VA","1,017,739","508,707","509,032","20,163","488,869"
I2298,-89.415053,36.498428,"Elvis Stahr Harbor, KY","975,059","975,059",0,0,0
C0189,-71.15875,41.72166,"Fall River, MA","973,531","390,350","583,181","583,181",0
I2269,-91.15361,32.79472,"Lake Providence, LA","944,097","944,097",0,0,0
L3506,-82.50235,42.71545,"Marine City, MI","941,241","921,741","19,500","19,500",0
L3725,-86.35014,43.19492,"Muskegon, MI","883,788","737,633","146,155","146,155",0
C2002,-88.88693,30.41907,"Biloxi, MS","854,927","854,927",0,0,0
C4800,-131.65,55.34193,"Ketchikan, AK","824,416","780,658","43,758","14,318","29,440"
C3813,-83.699621,46.040676,"Drummond Island, MI","819,482","533,518","285,964",0,"285,964"
I0514,-73.67332,40.87361,"Hempstead, NY","789,672","789,672",0,0,0
I3230,-78.904722,42.934167,"Buffalo, NY","787,187","500,156","287,031","287,031",0
L3216,-82.19514,41.48248,"Lorain, OH","771,425","550,927","220,498","220,498",0
C4810,-134.4239,58.29639,"Juneau, AK","771,140","771,140",0,0,0
